北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
74.2268041237,74.2268041237,74.2268041237
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
2.3657936751,2.3657936751,37.8526988008
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001345600,0.0001345600,0.0021529600
0.0001488400,0.0001488400,0.0023814400
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001440000,0.0001440000,0.0023040000
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001440000,0.0001440000,0.0023040000
0.0001345600,0.0001345600,0.0021529600
0.0001587600,0.0001587600,0.0025401600
0.0001488400,0.0001488400,0.0023814400
0.0001587600,0.0001587600,0.0025401600
0.0001587600,0.0001587600,0.0025401600
0.0001587600,0.0001587600,0.0025401600
0.0001587600,0.0001587600,0.0025401600
0.0001742400,0.0001742400,0.0027878400
0.0001638400,0.0001638400,0.0026214400
0.0001488400,0.0001488400,0.0023814400
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0001690000,0.0001690000,0.0027040000
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001795600,0.0001795600,0.0028729600
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0002016400,0.0002016400,0.0032262400
0.0001690000,0.0001690000,0.0027040000
0.0002131600,0.0002131600,0.0034105600
0.0002250000,0.0002250000,0.0036000000
9.0000000000,9.0000000000,144.0000000000
9.0000000000,9.0000000000,144.0000000000
9.0000000000,9.0000000000,144.0000000000
8.5264000000,8.5264000000,136.4224000000
8.2944000000,8.2944000000,132.7104000000
8.0656000000,8.0656000000,129.0496000000
8.0656000000,8.0656000000,129.0496000000
8.0656000000,8.0656000000,129.0496000000
8.7616000000,8.7616000000,140.1856000000
7.6176000000,7.6176000000,121.8816000000
10.4976000000,10.4976000000,167.9616000000
9.0000000000,9.0000000000,144.0000000000
8.0656000000,8.0656000000,129.0496000000
12.3904000000,12.3904000000,198.2464000000
10.4976000000,10.4976000000,167.9616000000
13.5424000000,13.5424000000,216.6784000000
13.5424000000,13.5424000000,216.6784000000
12.1104000000,12.1104000000,193.7664000000
7.1824000000,7.1824000000,114.9184000000
7.3984000000,7.3984000000,118.3744000000
11.8336000000,11.8336000000,189.3376000000
7.8400000000,7.8400000000,125.4400000000
8.0656000000,8.0656000000,129.0496000000
6.5536000000,6.5536000000,104.8576000000
6.5536000000,6.5536000000,104.8576000000
0.0002131600,0.0002131600,0.0034105600
0.0001904400,0.0001904400,0.0030470400
0.0001742400,0.0001742400,0.0027878400
0.0001795600,0.0001795600,0.0028729600
0.0001690000,0.0001690000,0.0027040000
0.0001795600,0.0001795600,0.0028729600
0.0002190400,0.0002190400,0.0035046400
0.0002131600,0.0002131600,0.0034105600
0.0002131600,0.0002131600,0.0034105600
0.0002190400,0.0002190400,0.0035046400
0.0001587600,0.0001587600,0.0025401600
0.0001960000,0.0001960000,0.0031360000
0.0001849600,0.0001849600,0.0029593600
0.0001537600,0.0001537600,0.0024601600
0.0001440000,0.0001440000,0.0023040000
0.0001638400,0.0001638400,0.0026214400
0.0001587600,0.0001587600,0.0025401600
0.0001440000,0.0001440000,0.0023040000
0.0001254400,0.0001254400,0.0020070400
0.0001299600,0.0001299600,0.0020793600
0.0001488400,0.0001488400,0.0023814400
0.0001742400,0.0001742400,0.0027878400
0.0001488400,0.0001488400,0.0023814400
0.0001587600,0.0001587600,0.0025401600
0.0001690000,0.0001690000,0.0027040000
0.0001587600,0.0001587600,0.0025401600
0.0001392400,0.0001392400,0.0022278400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001587600,0.0001587600,0.0025401600
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001299600,0.0001299600,0.0020793600
0.0001440000,0.0001440000,0.0023040000
