北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
89.0243902439,89.0243902439,89.0243902439
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
0.8447021034,0.8447021034,13.5152336546
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0001210000,0.0001210000,0.0019360000
0.0001210000,0.0001210000,0.0019360000
0.0001210000,0.0001210000,0.0019360000
0.0001638400,0.0001638400,0.0026214400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0002433600,0.0002433600,0.0038937600
0.0001392400,0.0001392400,0.0022278400
0.0001254400,0.0001254400,0.0020070400
0.0001254400,0.0001254400,0.0020070400
0.0001345600,0.0001345600,0.0021529600
0.0001210000,0.0001210000,0.0019360000
0.0001254400,0.0001254400,0.0020070400
0.0001345600,0.0001345600,0.0021529600
0.0001210000,0.0001210000,0.0019360000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001254400,0.0001254400,0.0020070400
0.0001440000,0.0001440000,0.0023040000
0.0001849600,0.0001849600,0.0029593600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001392400,0.0001392400,0.0022278400
0.0001440000,0.0001440000,0.0023040000
0.0001537600,0.0001537600,0.0024601600
0.0001392400,0.0001392400,0.0022278400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001210000,0.0001210000,0.0019360000
0.0001210000,0.0001210000,0.0019360000
0.0001440000,0.0001440000,0.0023040000
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001849600,0.0001849600,0.0029593600
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001904400,0.0001904400,0.0030470400
0.0001849600,0.0001849600,0.0029593600
0.0001904400,0.0001904400,0.0030470400
0.0002689600,0.0002689600,0.0043033600
0.0002689600,0.0002689600,0.0043033600
10.7584000000,10.7584000000,172.1344000000
5.7600000000,5.7600000000,92.1600000000
9.9856000000,9.9856000000,159.7696000000
6.7600000000,6.7600000000,108.1600000000
9.7344000000,9.7344000000,155.7504000000
5.5696000000,5.5696000000,89.1136000000
5.5696000000,5.5696000000,89.1136000000
9.7344000000,9.7344000000,155.7504000000
5.3824000000,5.3824000000,86.1184000000
0.0001345600,0.0001345600,0.0021529600
0.0001166400,0.0001166400,0.0018662400
0.0001166400,0.0001166400,0.0018662400
0.0001166400,0.0001166400,0.0018662400
0.0001299600,0.0001299600,0.0020793600
0.0001166400,0.0001166400,0.0018662400
0.0001254400,0.0001254400,0.0020070400
0.0001166400,0.0001166400,0.0018662400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001166400,0.0001166400,0.0018662400
0.0001392400,0.0001392400,0.0022278400
