北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
100.0000000000,100.0000000000,100.0000000000
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
0.0002914385,0.0002914385,0.0046630165
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0002073600,0.0002073600,0.0033177600
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002822400,0.0002822400,0.0045158400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002822400,0.0002822400,0.0045158400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0002624400,0.0002624400,0.0041990400
0.0002496400,0.0002496400,0.0039942400
0.0002624400,0.0002624400,0.0041990400
0.0002250000,0.0002250000,0.0036000000
0.0002250000,0.0002250000,0.0036000000
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002190400,0.0002190400,0.0035046400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002890000,0.0002890000,0.0046240000
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
