北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
23.8095238095,23.8095238095,20.2380952381
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
10.4722427579,10.4722427579,167.5558841257
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
15.0544000000,15.0544000000,240.8704000000
11.0224000000,11.0224000000,176.3584000000
11.0224000000,11.0224000000,176.3584000000
11.0224000000,11.0224000000,176.3584000000
15.0544000000,15.0544000000,240.8704000000
15.0544000000,15.0544000000,240.8704000000
15.0544000000,15.0544000000,240.8704000000
15.0544000000,15.0544000000,240.8704000000
15.0544000000,15.0544000000,240.8704000000
15.0544000000,15.0544000000,240.8704000000
18.3184000000,18.3184000000,293.0944000000
15.0544000000,15.0544000000,240.8704000000
15.0544000000,15.0544000000,240.8704000000
18.3184000000,18.3184000000,293.0944000000
15.0544000000,15.0544000000,240.8704000000
15.0544000000,15.0544000000,240.8704000000
18.3184000000,18.3184000000,293.0944000000
18.3184000000,18.3184000000,293.0944000000
18.3184000000,18.3184000000,293.0944000000
15.0544000000,15.0544000000,240.8704000000
15.0544000000,15.0544000000,240.8704000000
0.0003763600,0.0003763600,0.0060217600
0.0003763600,0.0003763600,0.0060217600
0.0003763600,0.0003763600,0.0060217600
0.0004579600,0.0004579600,0.0073273600
0.0003534400,0.0003534400,0.0056550400
0.0003534400,0.0003534400,0.0056550400
0.0003534400,0.0003534400,0.0056550400
0.0004243600,0.0004243600,0.0067897600
0.0003534400,0.0003534400,0.0056550400
0.0003534400,0.0003534400,0.0056550400
0.0004080400,0.0004080400,0.0065286400
0.0004080400,0.0004080400,0.0065286400
0.0003534400,0.0003534400,0.0056550400
0.0003027600,0.0003027600,0.0048441600
0.0004080400,0.0004080400,0.0065286400
0.0003534400,0.0003534400,0.0056550400
0.0004243600,0.0004243600,0.0067897600
0.0003534400,0.0003534400,0.0056550400
0.0003534400,0.0003534400,0.0056550400
0.0003534400,0.0003534400,0.0056550400
0.0003027600,0.0003027600,0.0048441600
0.0004080400,0.0004080400,0.0065286400
0.0004080400,0.0004080400,0.0065286400
0.0003385600,0.0003385600,0.0054169600
0.0003920400,0.0003920400,0.0062726400
0.0002624400,0.0002624400,0.0041990400
0.0003920400,0.0003920400,0.0062726400
0.0003027600,0.0003027600,0.0048441600
0.0002624400,0.0002624400,0.0041990400
0.0002250000,0.0002250000,0.0036000000
0.0002250000,0.0002250000,0.0036000000
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0003534400,0.0003534400,0.0056550400
8.2944000000,8.2944000000,132.7104000000
10.2400000000,10.2400000000,163.8400000000
14.1376000000,14.1376000000,226.2016000000
11.2896000000,11.2896000000,180.6336000000
11.2896000000,11.2896000000,180.6336000000
14.1376000000,14.1376000000,226.2016000000
10.2400000000,10.2400000000,163.8400000000
10.2400000000,10.2400000000,163.8400000000
14.1376000000,14.1376000000,226.2016000000
12.9600000000,12.9600000000,207.3600000000
8.2944000000,8.2944000000,132.7104000000
16.0000000000,16.0000000000,256.0000000000
10.2400000000,10.2400000000,163.8400000000
12.9600000000,12.9600000000,207.3600000000
14.1376000000,14.1376000000,226.2016000000
9.4864000000,9.4864000000,151.7824000000
12.9600000000,12.9600000000,207.3600000000
18.3184000000,18.3184000000,293.0944000000
12.9600000000,12.9600000000,207.3600000000
12.9600000000,12.9600000000,207.3600000000
12.6736000000,12.6736000000,202.7776000000
12.6736000000,12.6736000000,202.7776000000
12.6736000000,12.6736000000,202.7776000000
18.6624000000,18.6624000000,298.5984000000
11.0224000000,11.0224000000,176.3584000000
9.9856000000,9.9856000000,159.7696000000
13.8384000000,13.8384000000,221.4144000000
13.2496000000,13.2496000000,211.9936000000
13.5424000000,13.5424000000,216.6784000000
11.0224000000,11.0224000000,176.3584000000
14.4400000000,14.4400000000,231.0400000000
14.4400000000,14.4400000000,231.0400000000
16.9744000000,16.9744000000,271.5904000000
10.7584000000,10.7584000000,172.1344000000
16.9744000000,16.9744000000,271.5904000000
15.0544000000,15.0544000000,240.8704000000
10.7584000000,10.7584000000,172.1344000000
13.2496000000,13.2496000000,211.9936000000
19.3600000000,19.3600000000,309.7600000000
19.3600000000,19.3600000000,309.7600000000
10.7584000000,10.7584000000,172.1344000000
20.7936000000,20.7936000000,332.6976000000
13.8384000000,13.8384000000,221.4144000000
13.8384000000,13.8384000000,221.4144000000
19.3600000000,19.3600000000,309.7600000000
19.3600000000,19.3600000000,309.7600000000
