北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
90.0000000000,90.0000000000,13.3333333333
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
0.3477913531,0.3477913531,5.5646616498
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0032490000,0.0032490000,0.0519840000
0.0034810000,0.0034810000,0.0556960000
0.0032490000,0.0032490000,0.0519840000
0.0032490000,0.0032490000,0.0519840000
0.0032490000,0.0032490000,0.0519840000
0.0038440000,0.0038440000,0.0615040000
0.0036000000,0.0036000000,0.0576000000
0.0038440000,0.0038440000,0.0615040000
0.0031360000,0.0031360000,0.0501760000
0.0031360000,0.0031360000,0.0501760000
0.0032490000,0.0032490000,0.0519840000
0.0032490000,0.0032490000,0.0519840000
0.0030250000,0.0030250000,0.0484000000
0.0032490000,0.0032490000,0.0519840000
0.0031360000,0.0031360000,0.0501760000
0.0029160000,0.0029160000,0.0466560000
0.0029160000,0.0029160000,0.0466560000
0.0029160000,0.0029160000,0.0466560000
0.0029160000,0.0029160000,0.0466560000
0.0030250000,0.0030250000,0.0484000000
0.0030250000,0.0030250000,0.0484000000
0.0031360000,0.0031360000,0.0501760000
0.0031360000,0.0031360000,0.0501760000
0.0030250000,0.0030250000,0.0484000000
0.0031360000,0.0031360000,0.0501760000
0.0033640000,0.0033640000,0.0538240000
0.0032490000,0.0032490000,0.0519840000
0.0033640000,0.0033640000,0.0538240000
0.0036000000,0.0036000000,0.0576000000
0.0036000000,0.0036000000,0.0576000000
0.0036000000,0.0036000000,0.0576000000
0.0036000000,0.0036000000,0.0576000000
0.0036000000,0.0036000000,0.0576000000
0.0036000000,0.0036000000,0.0576000000
0.0034810000,0.0034810000,0.0556960000
0.0034810000,0.0034810000,0.0556960000
0.0036000000,0.0036000000,0.0576000000
0.0029160000,0.0029160000,0.0466560000
0.0031360000,0.0031360000,0.0501760000
0.0030250000,0.0030250000,0.0484000000
0.0038440000,0.0038440000,0.0615040000
0.0030250000,0.0030250000,0.0484000000
