北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
100.0000000000,100.0000000000,100.0000000000
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
0.0000000100,0.0000000100,0.0000000100
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
0.0000000100,0.0000000100,0.0000000100
