北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
39.8989898990,39.8989898990,33.8383838384
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
8.1305322494,8.1305322494,130.0885159903
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
11.8336000000,11.8336000000,189.3376000000
11.8336000000,11.8336000000,189.3376000000
11.8336000000,11.8336000000,189.3376000000
9.4864000000,9.4864000000,151.7824000000
8.2944000000,8.2944000000,132.7104000000
9.9856000000,9.9856000000,159.7696000000
8.2944000000,8.2944000000,132.7104000000
9.9856000000,9.9856000000,159.7696000000
7.1824000000,7.1824000000,114.9184000000
7.1824000000,7.1824000000,114.9184000000
6.5536000000,6.5536000000,104.8576000000
6.5536000000,6.5536000000,104.8576000000
7.1824000000,7.1824000000,114.9184000000
6.5536000000,6.5536000000,104.8576000000
5.9536000000,5.9536000000,95.2576000000
5.9536000000,5.9536000000,95.2576000000
7.1824000000,7.1824000000,114.9184000000
6.5536000000,6.5536000000,104.8576000000
6.5536000000,6.5536000000,104.8576000000
6.5536000000,6.5536000000,104.8576000000
7.1824000000,7.1824000000,114.9184000000
7.1824000000,7.1824000000,114.9184000000
7.1824000000,7.1824000000,114.9184000000
7.1824000000,7.1824000000,114.9184000000
7.1824000000,7.1824000000,114.9184000000
8.2944000000,8.2944000000,132.7104000000
8.2944000000,8.2944000000,132.7104000000
8.2944000000,8.2944000000,132.7104000000
8.2944000000,8.2944000000,132.7104000000
10.7584000000,10.7584000000,172.1344000000
13.2496000000,13.2496000000,211.9936000000
10.4976000000,10.4976000000,167.9616000000
10.4976000000,10.4976000000,167.9616000000
13.2496000000,13.2496000000,211.9936000000
10.4976000000,10.4976000000,167.9616000000
8.2944000000,8.2944000000,132.7104000000
8.2944000000,8.2944000000,132.7104000000
10.4976000000,10.4976000000,167.9616000000
8.2944000000,8.2944000000,132.7104000000
10.4976000000,10.4976000000,167.9616000000
11.8336000000,11.8336000000,189.3376000000
9.4864000000,9.4864000000,151.7824000000
11.5600000000,11.5600000000,184.9600000000
14.7456000000,14.7456000000,235.9296000000
11.5600000000,11.5600000000,184.9600000000
8.2944000000,8.2944000000,132.7104000000
14.7456000000,14.7456000000,235.9296000000
11.5600000000,11.5600000000,184.9600000000
9.4864000000,9.4864000000,151.7824000000
11.8336000000,11.8336000000,189.3376000000
8.2944000000,8.2944000000,132.7104000000
8.2944000000,8.2944000000,132.7104000000
10.4976000000,10.4976000000,167.9616000000
8.2944000000,8.2944000000,132.7104000000
8.2944000000,8.2944000000,132.7104000000
11.5600000000,11.5600000000,184.9600000000
8.2944000000,8.2944000000,132.7104000000
8.2944000000,8.2944000000,132.7104000000
10.4976000000,10.4976000000,167.9616000000
8.2944000000,8.2944000000,132.7104000000
8.2944000000,8.2944000000,132.7104000000
10.4976000000,10.4976000000,167.9616000000
