北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
100.0000000000,100.0000000000,100.0000000000
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
0.0002003158,0.0002003158,0.0032050528
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001742400,0.0001742400,0.0027878400
0.0002496400,0.0002496400,0.0039942400
0.0002496400,0.0002496400,0.0039942400
0.0003240000,0.0003240000,0.0051840000
0.0002496400,0.0002496400,0.0039942400
0.0003240000,0.0003240000,0.0051840000
0.0003240000,0.0003240000,0.0051840000
0.0003240000,0.0003240000,0.0051840000
0.0003240000,0.0003240000,0.0051840000
0.0003240000,0.0003240000,0.0051840000
0.0002958400,0.0002958400,0.0047334400
0.0002958400,0.0002958400,0.0047334400
0.0002958400,0.0002958400,0.0047334400
0.0002958400,0.0002958400,0.0047334400
0.0002958400,0.0002958400,0.0047334400
0.0002958400,0.0002958400,0.0047334400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0001742400,0.0001742400,0.0027878400
0.0002755600,0.0002755600,0.0044089600
0.0002755600,0.0002755600,0.0044089600
0.0002755600,0.0002755600,0.0044089600
0.0002755600,0.0002755600,0.0044089600
0.0002755600,0.0002755600,0.0044089600
0.0002755600,0.0002755600,0.0044089600
0.0002190400,0.0002190400,0.0035046400
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0001960000,0.0001960000,0.0031360000
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001488400,0.0001488400,0.0023814400
0.0002371600,0.0002371600,0.0037945600
0.0002371600,0.0002371600,0.0037945600
0.0001587600,0.0001587600,0.0025401600
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0002073600,0.0002073600,0.0033177600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001587600,0.0001587600,0.0025401600
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001537600,0.0001537600,0.0024601600
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001488400,0.0001488400,0.0023814400
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0002371600,0.0002371600,0.0037945600
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0002073600,0.0002073600,0.0033177600
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0001960000,0.0001960000,0.0031360000
0.0002190400,0.0002190400,0.0035046400
0.0002371600,0.0002371600,0.0037945600
0.0002371600,0.0002371600,0.0037945600
0.0002371600,0.0002371600,0.0037945600
0.0002689600,0.0002689600,0.0043033600
0.0002689600,0.0002689600,0.0043033600
0.0002689600,0.0002689600,0.0043033600
