北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
100.0000000000,100.0000000000,100.0000000000
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
0.0001325139,0.0001325139,0.0021202225
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0001690000,0.0001690000,0.0027040000
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0001849600,0.0001849600,0.0029593600
0.0002310400,0.0002310400,0.0036966400
0.0002310400,0.0002310400,0.0036966400
0.0002073600,0.0002073600,0.0033177600
0.0002131600,0.0002131600,0.0034105600
0.0002073600,0.0002073600,0.0033177600
0.0002190400,0.0002190400,0.0035046400
0.0002190400,0.0002190400,0.0035046400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002822400,0.0002822400,0.0045158400
0.0002433600,0.0002433600,0.0038937600
0.0002073600,0.0002073600,0.0033177600
0.0001795600,0.0001795600,0.0028729600
0.0001638400,0.0001638400,0.0026214400
0.0001638400,0.0001638400,0.0026214400
0.0001849600,0.0001849600,0.0029593600
0.0001537600,0.0001537600,0.0024601600
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001537600,0.0001537600,0.0024601600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001392400,0.0001392400,0.0022278400
0.0001488400,0.0001488400,0.0023814400
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001254400,0.0001254400,0.0020070400
0.0001254400,0.0001254400,0.0020070400
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001299600,0.0001299600,0.0020793600
0.0001345600,0.0001345600,0.0021529600
0.0001254400,0.0001254400,0.0020070400
0.0001254400,0.0001254400,0.0020070400
0.0001254400,0.0001254400,0.0020070400
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001345600,0.0001345600,0.0021529600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001254400,0.0001254400,0.0020070400
0.0001345600,0.0001345600,0.0021529600
0.0001254400,0.0001254400,0.0020070400
0.0001254400,0.0001254400,0.0020070400
0.0001392400,0.0001392400,0.0022278400
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001392400,0.0001392400,0.0022278400
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001392400,0.0001392400,0.0022278400
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001345600,0.0001345600,0.0021529600
0.0001299600,0.0001299600,0.0020793600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001392400,0.0001392400,0.0022278400
0.0001488400,0.0001488400,0.0023814400
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001299600,0.0001299600,0.0020793600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001345600,0.0001345600,0.0021529600
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
0.0001440000,0.0001440000,0.0023040000
