北方向のfix率[%],東方向のfix率[%],鉛直方向のfix率[%]
94.2748091603,94.2748091603,90.0763358779
北方向のばらつきの平均[m],東方向のばらつきの平均[m],鉛直方向のばらつきの平均[m]
1.3445921695,1.3445921695,21.5134747127
北方向のばらつき[m],東方向のばらつき[m],鉛直方向のばらつき[m]
0.0001849600,0.0001849600,0.0029593600
0.0001795600,0.0001795600,0.0028729600
0.0001795600,0.0001795600,0.0028729600
0.0001849600,0.0001849600,0.0029593600
0.0001795600,0.0001795600,0.0028729600
0.0001638400,0.0001638400,0.0026214400
0.0001795600,0.0001795600,0.0028729600
0.0002073600,0.0002073600,0.0033177600
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0002016400,0.0002016400,0.0032262400
0.0002250000,0.0002250000,0.0036000000
0.0002250000,0.0002250000,0.0036000000
0.0002250000,0.0002250000,0.0036000000
0.0002016400,0.0002016400,0.0032262400
0.0003312400,0.0003312400,0.0052998400
0.0002624400,0.0002624400,0.0041990400
0.0002371600,0.0002371600,0.0037945600
0.0002822400,0.0002822400,0.0045158400
0.0002371600,0.0002371600,0.0037945600
0.0002371600,0.0002371600,0.0037945600
0.0002433600,0.0002433600,0.0038937600
0.0002433600,0.0002433600,0.0038937600
0.0002433600,0.0002433600,0.0038937600
0.0002689600,0.0002689600,0.0043033600
0.0002624400,0.0002624400,0.0041990400
0.0002755600,0.0002755600,0.0044089600
0.0002755600,0.0002755600,0.0044089600
0.0004080400,0.0004080400,0.0065286400
0.0004665600,0.0004665600,0.0074649600
0.0003763600,0.0003763600,0.0060217600
0.0002624400,0.0002624400,0.0041990400
0.0002624400,0.0002624400,0.0041990400
0.0002689600,0.0002689600,0.0043033600
0.0002958400,0.0002958400,0.0047334400
0.0002371600,0.0002371600,0.0037945600
0.0002624400,0.0002624400,0.0041990400
0.0002958400,0.0002958400,0.0047334400
0.0002250000,0.0002250000,0.0036000000
0.0002250000,0.0002250000,0.0036000000
0.0002250000,0.0002250000,0.0036000000
0.0002250000,0.0002250000,0.0036000000
0.0002371600,0.0002371600,0.0037945600
0.0002496400,0.0002496400,0.0039942400
0.0002624400,0.0002624400,0.0041990400
0.0002624400,0.0002624400,0.0041990400
0.0002624400,0.0002624400,0.0041990400
